Attribution Method,Layer Name,Neuron Index,Relevance Score
GradXAct,yolo_model.model.1.conv,30,-0.3896428346633911
GradXAct,yolo_model.model.1.conv,31,-0.042828481644392014
GradXAct,yolo_model.model.2.cv1.conv,0,-0.035067155957221985
GradXAct,yolo_model.model.2.cv1.conv,1,0.08668097853660583
GradXAct,yolo_model.model.2.cv1.conv,2,0.10260404646396637
GradXAct,yolo_model.model.2.cv1.conv,3,0.1941124051809311
GradXAct,yolo_model.model.2.cv1.conv,4,-0.09575401246547699
GradXAct,yolo_model.model.2.cv1.conv,5,-0.09155842661857605
GradXAct,yolo_model.model.2.cv1.conv,6,0.001244872808456421
GradXAct,yolo_model.model.2.cv1.conv,7,-0.24436968564987183
GradXAct,yolo_model.model.2.cv1.conv,8,0.029170749709010124
GradXAct,yolo_model.model.2.cv1.conv,9,0.004812531638890505
GradXAct,yolo_model.model.2.cv1.conv,10,-0.014596275985240936
GradXAct,yolo_model.model.2.cv1.conv,11,-0.006487969309091568
GradXAct,yolo_model.model.2.cv1.conv,12,-0.46762615442276
GradXAct,yolo_model.model.2.cv1.conv,13,-0.16308528184890747
GradXAct,yolo_model.model.2.cv1.conv,14,0.019781341776251793
GradXAct,yolo_model.model.2.cv1.conv,15,0.16760969161987305
GradXAct,yolo_model.model.2.cv1.conv,16,0.15418994426727295
GradXAct,yolo_model.model.2.cv1.conv,17,0.12286148965358734
GradXAct,yolo_model.model.2.cv1.conv,18,0.1903730034828186
GradXAct,yolo_model.model.2.cv1.conv,19,0.07683748006820679
GradXAct,yolo_model.model.2.cv1.conv,20,0.01188952848315239
GradXAct,yolo_model.model.2.cv1.conv,21,-0.013400688767433167
GradXAct,yolo_model.model.2.cv1.conv,22,0.03518596291542053
GradXAct,yolo_model.model.2.cv1.conv,23,-0.002598627470433712
GradXAct,yolo_model.model.2.cv1.conv,24,0.08529441803693771
GradXAct,yolo_model.model.2.cv1.conv,25,0.49147331714630127
GradXAct,yolo_model.model.2.cv1.conv,26,0.05860987305641174
GradXAct,yolo_model.model.2.cv1.conv,27,0.09612312912940979
GradXAct,yolo_model.model.2.cv1.conv,28,-0.02294156327843666
GradXAct,yolo_model.model.2.cv1.conv,29,-0.012165598571300507
GradXAct,yolo_model.model.2.cv1.conv,30,-0.13873624801635742
GradXAct,yolo_model.model.2.cv1.conv,31,0.019251758232712746
GradXAct,yolo_model.model.2.cv2.conv,0,-0.08533625304698944
GradXAct,yolo_model.model.2.cv2.conv,1,0.0640873908996582
GradXAct,yolo_model.model.2.cv2.conv,2,0.14546513557434082
GradXAct,yolo_model.model.2.cv2.conv,3,0.20772747695446014
GradXAct,yolo_model.model.2.cv2.conv,4,0.9515640735626221
GradXAct,yolo_model.model.2.cv2.conv,5,0.03201737999916077
GradXAct,yolo_model.model.2.cv2.conv,6,0.21455985307693481
GradXAct,yolo_model.model.2.cv2.conv,7,-0.12284144759178162
GradXAct,yolo_model.model.2.cv2.conv,8,-0.05546056106686592
GradXAct,yolo_model.model.2.cv2.conv,9,-0.0071866391226649284
GradXAct,yolo_model.model.2.cv2.conv,10,-0.3769976496696472
GradXAct,yolo_model.model.2.cv2.conv,11,-0.6801927089691162
GradXAct,yolo_model.model.2.cv2.conv,12,0.17767736315727234
GradXAct,yolo_model.model.2.cv2.conv,13,0.19909274578094482
GradXAct,yolo_model.model.2.cv2.conv,14,0.3009340465068817
GradXAct,yolo_model.model.2.cv2.conv,15,-0.6524038910865784
GradXAct,yolo_model.model.2.cv2.conv,16,-0.3056736886501312
GradXAct,yolo_model.model.2.cv2.conv,17,-0.004303927533328533
GradXAct,yolo_model.model.2.cv2.conv,18,-0.3707878589630127
GradXAct,yolo_model.model.2.cv2.conv,19,0.05765394866466522
GradXAct,yolo_model.model.2.cv2.conv,20,-0.002023828448727727
GradXAct,yolo_model.model.2.cv2.conv,21,0.7925164699554443
GradXAct,yolo_model.model.2.cv2.conv,22,0.24953939020633698
GradXAct,yolo_model.model.2.cv2.conv,23,-0.045401155948638916
GradXAct,yolo_model.model.2.cv2.conv,24,-0.9572890996932983
GradXAct,yolo_model.model.2.cv2.conv,25,-0.9351818561553955
GradXAct,yolo_model.model.2.cv2.conv,26,0.07382439076900482
GradXAct,yolo_model.model.2.cv2.conv,27,-0.04513269662857056
GradXAct,yolo_model.model.2.cv2.conv,28,-0.03788672760128975
GradXAct,yolo_model.model.2.cv2.conv,29,0.1340217888355255
GradXAct,yolo_model.model.2.cv2.conv,30,-0.15641123056411743
GradXAct,yolo_model.model.2.cv2.conv,31,-0.07790817320346832
GradXAct,yolo_model.model.2.cv2.conv,32,0.2985799312591553
GradXAct,yolo_model.model.2.cv2.conv,33,0.25853022933006287
GradXAct,yolo_model.model.2.cv2.conv,34,0.1984911412000656
GradXAct,yolo_model.model.2.cv2.conv,35,0.009664878249168396
GradXAct,yolo_model.model.2.cv2.conv,36,0.14617738127708435
GradXAct,yolo_model.model.2.cv2.conv,37,-0.03746475279331207
GradXAct,yolo_model.model.2.cv2.conv,38,0.019531581550836563
GradXAct,yolo_model.model.2.cv2.conv,39,-1.022062063217163
GradXAct,yolo_model.model.2.cv2.conv,40,0.21414244174957275
GradXAct,yolo_model.model.2.cv2.conv,41,0.10199501365423203
GradXAct,yolo_model.model.2.cv2.conv,42,0.07078127562999725
GradXAct,yolo_model.model.2.cv2.conv,43,0.6276350021362305
GradXAct,yolo_model.model.2.cv2.conv,44,0.17665019631385803
GradXAct,yolo_model.model.2.cv2.conv,45,-0.02826126664876938
GradXAct,yolo_model.model.2.cv2.conv,46,1.3644458055496216
GradXAct,yolo_model.model.2.cv2.conv,47,-0.13000008463859558
GradXAct,yolo_model.model.2.cv2.conv,48,0.04457460343837738
GradXAct,yolo_model.model.2.cv2.conv,49,-0.05493241921067238
GradXAct,yolo_model.model.2.cv2.conv,50,0.9894883632659912
GradXAct,yolo_model.model.2.cv2.conv,51,0.6699681282043457
GradXAct,yolo_model.model.2.cv2.conv,52,-0.3142141103744507
GradXAct,yolo_model.model.2.cv2.conv,53,-0.14480885863304138
GradXAct,yolo_model.model.2.cv2.conv,54,0.7054283618927002
GradXAct,yolo_model.model.2.cv2.conv,55,-0.271945595741272
GradXAct,yolo_model.model.2.cv2.conv,56,-0.15587452054023743
GradXAct,yolo_model.model.2.cv2.conv,57,0.011859000660479069
GradXAct,yolo_model.model.2.cv2.conv,58,0.16421747207641602
GradXAct,yolo_model.model.2.cv2.conv,59,0.1669963300228119
GradXAct,yolo_model.model.2.cv2.conv,60,0.02139795571565628
GradXAct,yolo_model.model.2.cv2.conv,61,0.5422862768173218
GradXAct,yolo_model.model.2.cv2.conv,62,0.05271128565073013
GradXAct,yolo_model.model.2.cv2.conv,63,-0.14738178253173828
GradXAct,yolo_model.model.2.m.0.cv1.conv,0,0.3071674406528473
GradXAct,yolo_model.model.2.m.0.cv1.conv,1,-0.557701051235199
GradXAct,yolo_model.model.2.m.0.cv1.conv,2,0.09761586785316467
GradXAct,yolo_model.model.2.m.0.cv1.conv,3,-0.0029076673090457916
GradXAct,yolo_model.model.2.m.0.cv1.conv,4,0.2505583167076111
GradXAct,yolo_model.model.2.m.0.cv1.conv,5,0.3910580277442932
GradXAct,yolo_model.model.2.m.0.cv1.conv,6,0.12860366702079773
GradXAct,yolo_model.model.2.m.0.cv1.conv,7,-0.039888687431812286
GradXAct,yolo_model.model.2.m.0.cv2.conv,0,-0.10108047723770142
GradXAct,yolo_model.model.2.m.0.cv2.conv,1,0.5829071998596191
GradXAct,yolo_model.model.2.m.0.cv2.conv,2,0.742692232131958
GradXAct,yolo_model.model.2.m.0.cv2.conv,3,-0.0807826966047287
GradXAct,yolo_model.model.2.m.0.cv2.conv,4,0.2993224263191223
GradXAct,yolo_model.model.2.m.0.cv2.conv,5,-0.05401994660496712
GradXAct,yolo_model.model.2.m.0.cv2.conv,6,0.9665292501449585
GradXAct,yolo_model.model.2.m.0.cv2.conv,7,0.05059216544032097
GradXAct,yolo_model.model.2.m.0.cv2.conv,8,-0.8343255519866943
GradXAct,yolo_model.model.2.m.0.cv2.conv,9,0.35588932037353516
GradXAct,yolo_model.model.2.m.0.cv2.conv,10,-0.3532065153121948
GradXAct,yolo_model.model.2.m.0.cv2.conv,11,-0.04391781613230705
GradXAct,yolo_model.model.2.m.0.cv2.conv,12,0.44511204957962036
GradXAct,yolo_model.model.2.m.0.cv2.conv,13,0.16731137037277222
GradXAct,yolo_model.model.2.m.0.cv2.conv,14,-0.03283948451280594
GradXAct,yolo_model.model.2.m.0.cv2.conv,15,-0.007734615355730057
GradXAct,yolo_model.model.3.conv,0,0.016802698373794556
GradXAct,yolo_model.model.3.conv,1,-0.019095294177532196
GradXAct,yolo_model.model.3.conv,2,-0.005884148180484772
GradXAct,yolo_model.model.3.conv,3,0.1260448396205902
GradXAct,yolo_model.model.3.conv,4,0.17347130179405212
GradXAct,yolo_model.model.3.conv,5,-0.21391871571540833
GradXAct,yolo_model.model.3.conv,6,-0.1761363446712494
GradXAct,yolo_model.model.3.conv,7,-0.03547309711575508
GradXAct,yolo_model.model.3.conv,8,0.30167803168296814
GradXAct,yolo_model.model.3.conv,9,0.11689591407775879
GradXAct,yolo_model.model.3.conv,10,0.06585637480020523
GradXAct,yolo_model.model.3.conv,11,-0.13870149850845337
GradXAct,yolo_model.model.3.conv,12,0.054944396018981934
GradXAct,yolo_model.model.3.conv,13,0.09671573340892792
GradXAct,yolo_model.model.3.conv,14,-0.03274945169687271
GradXAct,yolo_model.model.3.conv,15,0.44575023651123047
GradXAct,yolo_model.model.3.conv,16,-0.04489661380648613
GradXAct,yolo_model.model.3.conv,17,-0.7997952699661255
GradXAct,yolo_model.model.3.conv,18,0.16295352578163147
GradXAct,yolo_model.model.3.conv,19,-0.016954701393842697
GradXAct,yolo_model.model.3.conv,20,0.16412442922592163
GradXAct,yolo_model.model.3.conv,21,-0.06288963556289673
GradXAct,yolo_model.model.3.conv,22,0.045719534158706665
GradXAct,yolo_model.model.3.conv,23,0.1889183670282364
GradXAct,yolo_model.model.3.conv,24,-0.17917479574680328
GradXAct,yolo_model.model.3.conv,25,-0.09419743716716766
GradXAct,yolo_model.model.3.conv,26,-0.46174877882003784
GradXAct,yolo_model.model.3.conv,27,-0.1083153635263443
GradXAct,yolo_model.model.3.conv,28,-0.0015349797904491425
GradXAct,yolo_model.model.3.conv,29,-0.15057285130023956
GradXAct,yolo_model.model.3.conv,30,0.034573379904031754
GradXAct,yolo_model.model.3.conv,31,0.08250637352466583
GradXAct,yolo_model.model.3.conv,32,-0.06645990908145905
GradXAct,yolo_model.model.3.conv,33,-0.211185485124588
GradXAct,yolo_model.model.3.conv,34,-0.06290563941001892
GradXAct,yolo_model.model.3.conv,35,0.038632605224847794
GradXAct,yolo_model.model.3.conv,36,-0.11003131419420242
GradXAct,yolo_model.model.3.conv,37,0.555640697479248
GradXAct,yolo_model.model.3.conv,38,-0.3145850896835327
GradXAct,yolo_model.model.3.conv,39,0.056563109159469604
GradXAct,yolo_model.model.3.conv,40,0.14721208810806274
GradXAct,yolo_model.model.3.conv,41,-0.012230060994625092
GradXAct,yolo_model.model.3.conv,42,0.12992192804813385
GradXAct,yolo_model.model.3.conv,43,-0.004911105148494244
GradXAct,yolo_model.model.3.conv,44,0.020676791667938232
GradXAct,yolo_model.model.3.conv,45,-0.0025807227939367294
GradXAct,yolo_model.model.3.conv,46,-0.09033427387475967
GradXAct,yolo_model.model.3.conv,47,-0.014810828492045403
GradXAct,yolo_model.model.3.conv,48,-0.10209006071090698
GradXAct,yolo_model.model.3.conv,49,0.05244041234254837
GradXAct,yolo_model.model.3.conv,50,-0.06804950535297394
GradXAct,yolo_model.model.3.conv,51,-0.15816180408000946
GradXAct,yolo_model.model.3.conv,52,0.013195298612117767
GradXAct,yolo_model.model.3.conv,53,0.06940480321645737
GradXAct,yolo_model.model.3.conv,54,0.034975145012140274
GradXAct,yolo_model.model.3.conv,55,0.008786085061728954
GradXAct,yolo_model.model.3.conv,56,-0.1425705850124359
GradXAct,yolo_model.model.3.conv,57,0.29515185952186584
GradXAct,yolo_model.model.3.conv,58,0.005643583834171295
GradXAct,yolo_model.model.3.conv,59,0.05438050255179405
GradXAct,yolo_model.model.3.conv,60,-0.07278311997652054
GradXAct,yolo_model.model.3.conv,61,0.29673826694488525
GradXAct,yolo_model.model.3.conv,62,-0.08775144815444946
GradXAct,yolo_model.model.3.conv,63,-0.014197396114468575
GradXAct,yolo_model.model.4.cv1.conv,0,0.012320619076490402
GradXAct,yolo_model.model.4.cv1.conv,1,0.021362505853176117
GradXAct,yolo_model.model.4.cv1.conv,2,-0.013610275462269783
GradXAct,yolo_model.model.4.cv1.conv,3,0.2237812876701355
GradXAct,yolo_model.model.4.cv1.conv,4,0.02276782877743244
GradXAct,yolo_model.model.4.cv1.conv,5,-0.4923325777053833
GradXAct,yolo_model.model.4.cv1.conv,6,-0.01763153076171875
GradXAct,yolo_model.model.4.cv1.conv,7,-0.15073758363723755
GradXAct,yolo_model.model.4.cv1.conv,8,-0.2238374501466751
GradXAct,yolo_model.model.4.cv1.conv,9,-0.030640676617622375
GradXAct,yolo_model.model.4.cv1.conv,10,-0.03800313174724579
GradXAct,yolo_model.model.4.cv1.conv,11,1.1772483587265015
GradXAct,yolo_model.model.4.cv1.conv,12,0.6422766447067261
GradXAct,yolo_model.model.4.cv1.conv,13,-0.9623705744743347
GradXAct,yolo_model.model.4.cv1.conv,14,-0.09674403071403503
GradXAct,yolo_model.model.4.cv1.conv,15,-0.004515865817666054
GradXAct,yolo_model.model.4.cv1.conv,16,0.0002601202577352524
GradXAct,yolo_model.model.4.cv1.conv,17,0.04555785655975342
GradXAct,yolo_model.model.4.cv1.conv,18,-0.05779137462377548
GradXAct,yolo_model.model.4.cv1.conv,19,0.0806308463215828
GradXAct,yolo_model.model.4.cv1.conv,20,0.8473900556564331
GradXAct,yolo_model.model.4.cv1.conv,21,-0.040997616946697235
GradXAct,yolo_model.model.4.cv1.conv,22,0.19270655512809753
GradXAct,yolo_model.model.4.cv1.conv,23,-0.23430202901363373
GradXAct,yolo_model.model.4.cv1.conv,24,-0.07092039287090302
GradXAct,yolo_model.model.4.cv1.conv,25,0.020541075617074966
GradXAct,yolo_model.model.4.cv1.conv,26,-0.1936630755662918
GradXAct,yolo_model.model.4.cv1.conv,27,-0.10095743834972382
GradXAct,yolo_model.model.4.cv1.conv,28,0.797896146774292
GradXAct,yolo_model.model.4.cv1.conv,29,-0.3526577353477478
GradXAct,yolo_model.model.4.cv1.conv,30,0.014219309203326702
GradXAct,yolo_model.model.4.cv1.conv,31,0.01347341388463974
GradXAct,yolo_model.model.4.cv1.conv,32,0.07552381604909897
GradXAct,yolo_model.model.4.cv1.conv,33,-0.0043267617002129555
GradXAct,yolo_model.model.4.cv1.conv,34,0.08977750688791275
GradXAct,yolo_model.model.4.cv1.conv,35,0.06828366219997406
GradXAct,yolo_model.model.4.cv1.conv,36,-0.06455647945404053
GradXAct,yolo_model.model.4.cv1.conv,37,-0.7606768608093262
GradXAct,yolo_model.model.4.cv1.conv,38,-0.0013697892427444458
GradXAct,yolo_model.model.4.cv1.conv,39,-0.2453470677137375
GradXAct,yolo_model.model.4.cv1.conv,40,0.33080923557281494
GradXAct,yolo_model.model.4.cv1.conv,41,0.23589883744716644
GradXAct,yolo_model.model.4.cv1.conv,42,-0.2604954242706299
GradXAct,yolo_model.model.4.cv1.conv,43,-0.07057522237300873
GradXAct,yolo_model.model.4.cv1.conv,44,-0.06099490448832512
GradXAct,yolo_model.model.4.cv1.conv,45,-0.0021065473556518555
GradXAct,yolo_model.model.4.cv1.conv,46,-0.012574497610330582
GradXAct,yolo_model.model.4.cv1.conv,47,0.3748747408390045
GradXAct,yolo_model.model.4.cv1.conv,48,-0.03110319748520851
GradXAct,yolo_model.model.4.cv1.conv,49,-0.01867363415658474
GradXAct,yolo_model.model.4.cv1.conv,50,0.16615261137485504
GradXAct,yolo_model.model.4.cv1.conv,51,0.02225557714700699
GradXAct,yolo_model.model.4.cv1.conv,52,-0.14589627087116241
GradXAct,yolo_model.model.4.cv1.conv,53,-0.10936026275157928
GradXAct,yolo_model.model.4.cv1.conv,54,-0.08152152597904205
GradXAct,yolo_model.model.4.cv1.conv,55,-0.0778704509139061
GradXAct,yolo_model.model.4.cv1.conv,56,-0.22137589752674103
GradXAct,yolo_model.model.4.cv1.conv,57,0.101096510887146
GradXAct,yolo_model.model.4.cv1.conv,58,-0.3796765208244324
GradXAct,yolo_model.model.4.cv1.conv,59,-0.057111598551273346
GradXAct,yolo_model.model.4.cv1.conv,60,0.2920965850353241
GradXAct,yolo_model.model.4.cv1.conv,61,0.15991459786891937
GradXAct,yolo_model.model.4.cv1.conv,62,0.009988859295845032
GradXAct,yolo_model.model.4.cv1.conv,63,-0.013979688286781311
GradXAct,yolo_model.model.4.cv2.conv,0,-0.38059157133102417
GradXAct,yolo_model.model.4.cv2.conv,1,0.009385200217366219
GradXAct,yolo_model.model.4.cv2.conv,2,0.05121781677007675
GradXAct,yolo_model.model.4.cv2.conv,3,0.04025895148515701
GradXAct,yolo_model.model.4.cv2.conv,4,0.044487401843070984
GradXAct,yolo_model.model.4.cv2.conv,5,0.003671502461656928
GradXAct,yolo_model.model.4.cv2.conv,6,-0.11897654831409454
GradXAct,yolo_model.model.4.cv2.conv,7,0.3951319754123688
GradXAct,yolo_model.model.4.cv2.conv,8,-0.006478695198893547
GradXAct,yolo_model.model.4.cv2.conv,9,0.017697488889098167
GradXAct,yolo_model.model.4.cv2.conv,10,-0.163270965218544
GradXAct,yolo_model.model.4.cv2.conv,11,0.03863424435257912
GradXAct,yolo_model.model.4.cv2.conv,12,-0.03670678660273552
GradXAct,yolo_model.model.4.cv2.conv,13,0.047191791236400604
GradXAct,yolo_model.model.4.cv2.conv,14,0.12403647601604462
GradXAct,yolo_model.model.4.cv2.conv,15,0.0039383722469210625
GradXAct,yolo_model.model.4.cv2.conv,16,-0.03759882599115372
GradXAct,yolo_model.model.4.cv2.conv,17,-0.29314327239990234
GradXAct,yolo_model.model.4.cv2.conv,18,0.07273724675178528
GradXAct,yolo_model.model.4.cv2.conv,19,-0.13202643394470215
GradXAct,yolo_model.model.4.cv2.conv,20,-0.13722088932991028
GradXAct,yolo_model.model.4.cv2.conv,21,-0.0364922359585762
GradXAct,yolo_model.model.4.cv2.conv,22,0.0004563252441585064
GradXAct,yolo_model.model.4.cv2.conv,23,0.018524589017033577
GradXAct,yolo_model.model.4.cv2.conv,24,-0.15530478954315186
GradXAct,yolo_model.model.4.cv2.conv,25,-0.2657984495162964
GradXAct,yolo_model.model.4.cv2.conv,26,-0.06766365468502045
GradXAct,yolo_model.model.4.cv2.conv,27,0.1436140239238739
GradXAct,yolo_model.model.4.cv2.conv,28,-0.03081095591187477
GradXAct,yolo_model.model.4.cv2.conv,29,-0.35465678572654724
GradXAct,yolo_model.model.4.cv2.conv,30,0.04383964091539383
GradXAct,yolo_model.model.4.cv2.conv,31,0.4391021132469177
GradXAct,yolo_model.model.4.cv2.conv,32,0.11584211140871048
GradXAct,yolo_model.model.4.cv2.conv,33,0.005010679364204407
GradXAct,yolo_model.model.4.cv2.conv,34,0.008186578750610352
GradXAct,yolo_model.model.4.cv2.conv,35,-0.008661121129989624
GradXAct,yolo_model.model.4.cv2.conv,36,-0.11300573498010635
GradXAct,yolo_model.model.4.cv2.conv,37,-0.006304731592535973
GradXAct,yolo_model.model.4.cv2.conv,38,-0.20413964986801147
GradXAct,yolo_model.model.4.cv2.conv,39,-0.10632482916116714
GradXAct,yolo_model.model.4.cv2.conv,40,0.34527406096458435
GradXAct,yolo_model.model.4.cv2.conv,41,-0.012773258611559868
GradXAct,yolo_model.model.4.cv2.conv,42,-0.030980587005615234
GradXAct,yolo_model.model.4.cv2.conv,43,-0.018317274749279022
GradXAct,yolo_model.model.4.cv2.conv,44,0.4126071333885193
GradXAct,yolo_model.model.4.cv2.conv,45,-0.010859549045562744
GradXAct,yolo_model.model.4.cv2.conv,46,0.14603254199028015
GradXAct,yolo_model.model.4.cv2.conv,47,0.3543682098388672
GradXAct,yolo_model.model.4.cv2.conv,48,0.08771956712007523
GradXAct,yolo_model.model.4.cv2.conv,49,-0.08583644032478333
GradXAct,yolo_model.model.4.cv2.conv,50,-0.1194012239575386
GradXAct,yolo_model.model.4.cv2.conv,51,0.18138273060321808
GradXAct,yolo_model.model.4.cv2.conv,52,-0.09586319327354431
GradXAct,yolo_model.model.4.cv2.conv,53,-0.3032052218914032
GradXAct,yolo_model.model.4.cv2.conv,54,-0.0010880309855565429
GradXAct,yolo_model.model.4.cv2.conv,55,0.14728359878063202
GradXAct,yolo_model.model.4.cv2.conv,56,-0.21534934639930725
GradXAct,yolo_model.model.4.cv2.conv,57,0.04320139437913895
GradXAct,yolo_model.model.4.cv2.conv,58,0.23558560013771057
GradXAct,yolo_model.model.4.cv2.conv,59,-0.01327216625213623
GradXAct,yolo_model.model.4.cv2.conv,60,-1.3457908630371094
GradXAct,yolo_model.model.4.cv2.conv,61,-0.07066969573497772
GradXAct,yolo_model.model.4.cv2.conv,62,-0.28981244564056396
GradXAct,yolo_model.model.4.cv2.conv,63,-0.011844104155898094
GradXAct,yolo_model.model.4.cv2.conv,64,-0.12636855244636536
GradXAct,yolo_model.model.4.cv2.conv,65,-0.00719868391752243
GradXAct,yolo_model.model.4.cv2.conv,66,0.069365955889225
GradXAct,yolo_model.model.4.cv2.conv,67,-0.011734027415513992
GradXAct,yolo_model.model.4.cv2.conv,68,-0.011878478340804577
GradXAct,yolo_model.model.4.cv2.conv,69,0.0645972266793251
GradXAct,yolo_model.model.4.cv2.conv,70,-0.1067354679107666
GradXAct,yolo_model.model.4.cv2.conv,71,0.07222681492567062
GradXAct,yolo_model.model.4.cv2.conv,72,-0.1921478807926178
GradXAct,yolo_model.model.4.cv2.conv,73,0.004213254898786545
GradXAct,yolo_model.model.4.cv2.conv,74,0.08466609567403793
GradXAct,yolo_model.model.4.cv2.conv,75,0.10013031959533691
GradXAct,yolo_model.model.4.cv2.conv,76,0.21697954833507538
GradXAct,yolo_model.model.4.cv2.conv,77,-0.11934030801057816
GradXAct,yolo_model.model.4.cv2.conv,78,-0.4037248194217682
GradXAct,yolo_model.model.4.cv2.conv,79,0.08378828316926956
GradXAct,yolo_model.model.4.cv2.conv,80,0.04411514475941658
GradXAct,yolo_model.model.4.cv2.conv,81,0.16709193587303162
GradXAct,yolo_model.model.4.cv2.conv,82,-0.17013633251190186
GradXAct,yolo_model.model.4.cv2.conv,83,0.24421410262584686
GradXAct,yolo_model.model.4.cv2.conv,84,-0.11075086146593094
GradXAct,yolo_model.model.4.cv2.conv,85,-0.11271406710147858
GradXAct,yolo_model.model.4.cv2.conv,86,-0.42840492725372314
GradXAct,yolo_model.model.4.cv2.conv,87,0.07158687710762024
GradXAct,yolo_model.model.4.cv2.conv,88,0.02692841738462448
GradXAct,yolo_model.model.4.cv2.conv,89,-0.17648258805274963
GradXAct,yolo_model.model.4.cv2.conv,90,-0.030304130166769028
GradXAct,yolo_model.model.4.cv2.conv,91,0.01896129921078682
GradXAct,yolo_model.model.4.cv2.conv,92,-0.017851943150162697
GradXAct,yolo_model.model.4.cv2.conv,93,-0.23675499856472015
GradXAct,yolo_model.model.4.cv2.conv,94,0.18532751500606537
GradXAct,yolo_model.model.4.cv2.conv,95,-0.10627715289592743
GradXAct,yolo_model.model.4.cv2.conv,96,-0.02989913709461689
GradXAct,yolo_model.model.4.cv2.conv,97,-0.23589837551116943
GradXAct,yolo_model.model.4.cv2.conv,98,-0.08227115869522095
GradXAct,yolo_model.model.4.cv2.conv,99,-0.12886187434196472
GradXAct,yolo_model.model.4.cv2.conv,100,-0.10745588690042496
GradXAct,yolo_model.model.4.cv2.conv,101,-0.15792997181415558
GradXAct,yolo_model.model.4.cv2.conv,102,0.1569739282131195
GradXAct,yolo_model.model.4.cv2.conv,103,-0.07881838828325272
GradXAct,yolo_model.model.4.cv2.conv,104,-0.2864419221878052
GradXAct,yolo_model.model.4.cv2.conv,105,0.00031355395913124084
GradXAct,yolo_model.model.4.cv2.conv,106,-0.11834323406219482
GradXAct,yolo_model.model.4.cv2.conv,107,-0.08233340829610825
GradXAct,yolo_model.model.4.cv2.conv,108,-0.027529260143637657
GradXAct,yolo_model.model.4.cv2.conv,109,-0.07524015754461288
GradXAct,yolo_model.model.4.cv2.conv,110,0.03951949626207352
GradXAct,yolo_model.model.4.cv2.conv,111,-0.10563486069440842
GradXAct,yolo_model.model.4.cv2.conv,112,-0.09525934606790543
GradXAct,yolo_model.model.4.cv2.conv,113,0.03328733891248703
GradXAct,yolo_model.model.4.cv2.conv,114,-0.003320363350212574
GradXAct,yolo_model.model.4.cv2.conv,115,0.26974907517433167
GradXAct,yolo_model.model.4.cv2.conv,116,0.1103401929140091
GradXAct,yolo_model.model.4.cv2.conv,117,0.3796088993549347
